,text,probabilities,classes,trump or not
20,"#MakeAmericaGreatAgain I will be in Cedar Rapids,IA this Saturday. Get your tickets-https://t.co/QcqOsG3jqo",0.06,0,not trump
26,.@CharlesHurt  Thanks for defending me so brilliantly against @MelindaDC --  Always tough when they falsify.,0.76,1,trump
27,.@MelindaDC  Don’t misrepresent in order to make a point. I was always tough on ISIS--as you’ll find out after I get elected.,0.46,0,not trump
28,I have an idea for @JebBush whose campaign is a disaster. Try using your last name &amp; don’t be ashamed of it!,0.42,0,not trump
29,Weak &amp; ineffective @JebBush is doing ads where he shows his statement in the debate but not my response. False advertising!,0.46,0,not trump
31,.@JebBush has embarrassed himself &amp; his family with his incompetent campaign for President. He should remain true to himself.,0.42,0,not trump
59,RT @Deadline: Donald Trump &amp; Barbara Walters Ratings Thump Barack Obama On ‘Bear Grylls’ https://t.co/9WjI0jNpvQ,0.5,0,not trump
78,It's the Democrats' total weakness &amp; incompetence that gave rise to ISIS --  not a tape of Donald Trump that was an admitted Hillary lie!,0.7,1,trump
96,"Weak and low energy @JebBush, whose campaign is a disaster, is now doing ads against me where he tries to look like a tough guy.",0.54,1,trump
97,.@JebBush just took millions of $'s in special interest money to look like a tough guy. Will never work!,0.52,1,trump
98,"Will @JebBush, in his phony advertising campaign, show himself asking me to apologize to his wife in the debate?",0.48,0,not trump
99,"Why doesn't @JebBush, in his ads, show my answer to his statement in the debate?",0.64,1,trump
100,".@JebBush's opening and closing in the debate were said by all to be terrible--fumbled around, incoherent.",0.56,1,trump
207,"Looking forward to being in Council Bluffs, Iowa, later today. Despite weather, rally is on -- will be fantastic! #MakeAmericaGreatAgain!",0.38,0,not trump
208,We need a real President! https://t.co/nw7BIAW7HV,0.04,0,not trump
298,"I look forward to being in Lowell, Massachusetts, today. I hear a very big crowd is expected--we will have lots of fun!",0.48,0,not trump
299,"Woody Johnson, owner of the NYJets, is @JebBush’s finance chairman. If Woody would’ve been w/me, he would’ve been in the playoffs, at least!",0.56,1,trump
311,"Wow @UnionLeader circulation in NH has dropped from 75,000 to around 10—bad management. No wonder they begged me for ads.",0.62,1,trump
312,"I don’t know @SamuelLJackson, to best of my knowledge haven't played golf w/him &amp; think he does too many TV commercials—boring. Not a fan.",0.52,1,trump
313,"""@Lucky5713 @NewDay What's wrong with showing Morocco? Nothing! It illustrates a Point! Duh! Love the video!""",0.86,1,trump
314,"""@longtalltexan20 @realDonaldTrump  I love it when TRUMP calls out MSM for what they really are!  Cams starting to show crowds at rallies!""",0.82,1,trump
328,I don’t cheat at golf but @SamuelLJackson cheats—with his game he has no choice—and stop doing commercials!,0.44,0,not trump
329,Don’t like @SamuelLJackson’s golf swing.  Not athletic. I’ve won many club championships. Play him for charity!,0.36,0,not trump
331,I will be on @wolfblitzer for a @CNNSitRoom interview today. Please join us 5PM ET.,0.9,1,trump
338,Massive crowd in VT tonight. Venue not big enough. Officials say NO to outside event and sound system. Arrive early!,0.62,1,trump
339,.@SenTedCruz Ted--free legal advice on how to pre-empt the Dems on citizen issue. Go to court now &amp; seek Declaratory Judgment--you will win!,0.62,1,trump
340,I have an idea for @JebBush whose campaign is a disaster. Try using your last name and don't be ashamed of it!,0.58,1,trump
341,Weak &amp; ineffective @JebBush is doing ads where he shows his statement in the debate but not my response. False advertising!,0.58,1,trump
342,Hillary and her friends! https://t.co/q45tTapqMI,0.04,0,not trump
343,"RT @JoeNBC: Explosive Trump attack on HRC, Bill, Monica, Cosby, and Weiner. Trump camp just upped the ante on ""women's rights"" https://t.co…",0.26,0,not trump
344,"The @TheView @ABC, once great when headed by @BarbaraJWalters, is now in total freefall. Whoopi Goldberg is terrible. Very sad!",0.88,1,trump
345,"Joy Behar, who was fired from her last show for lack of ratings, is even worse on @TheView. We love Barbara!",0.5,0,not trump
346,"I'm leaving now for Burlington, Vermont. It will be wild!",0.66,1,trump
354,Not good news for Jeb Bush  https://t.co/5CrP5zdXsz,0.06,0,not trump
393,".@megynkelly recently said that she can’t be wooed by Trump. She is so average in every way, who the hell wants to woo her!",0.88,1,trump
404,"On my way to Cedar Falls, Iowa, now. Will be great--I love the people of Iowa!",0.68,1,trump
439,"RT @JaniceTaylor912: @DonaldJTrumpJr @Reryan08 @IvankaTrump @EricTrump obvious to all that he raised some GREAT, responsible, patriotic kid…",0.18,0,not trump
604,I will be on The Situation Room with @wolfblitzer from 5-7pm est on CNN,0.4,0,not trump
606,RT @GeraldoRivera: #NewYork tromps #Jonas. Day after storm of the century the big city is up and running unlike others in the northeast. Mu…,0.22,0,not trump
607,"RT @AnnCoulter: RUMSFELD: Trump ""has a touched a nerve in our country...in a way that most politicians have not been able to do."" - https:/…",0.1,0,not trump
608,Obama's deal vs. Trump's deals- https://t.co/UpQ3LkUUpm,0.04,0,not trump
610,I will be on Morning's with Maria on the Fox Business Network tomorrow during the 7am and 8am ET hours.,0.5,0,not trump
642,".@bobvanderplaats begged me to do an event while asking organizers for $100,000 for himself—a bad guy!",0.34,0,not trump
